CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Exited_Probability,Risk_Label
15634602,Hargrave,619,France,Female,42,2,0.0,1,1,1,101348.88,1,0.82801676,High Risk
15647311,Hill,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,0.439722,Medium Risk
15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,0.99949026,High Risk
15701354,Boni,699,France,Female,39,1,0.0,2,0,0,93826.63,0,0.1369251,Low Risk
15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,0.0020335305,Low Risk
15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,0.611039,Medium Risk
15592531,Bartlett,822,France,Male,50,7,0.0,2,1,1,10062.8,0,0.007967699,Low Risk
15656148,Obinna,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,0.99959713,High Risk
15792365,He,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,0.017083237,Low Risk
15592389,H?,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,0.20348704,Low Risk
15767821,Bearce,528,France,Male,31,6,102016.72,2,0,0,80181.12,0,0.017851086,Low Risk
15737173,Andrews,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,0.0053703184,Low Risk
15632264,Kay,476,France,Female,34,10,0.0,2,1,0,26260.98,0,0.028240327,Low Risk
15691483,Chin,549,France,Female,25,5,0.0,2,0,0,190857.79,0,0.0037574568,Low Risk
15600882,Scott,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,0.07713552,Low Risk
15643966,Goforth,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,0.28794393,Low Risk
15737452,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,0.98697877,High Risk
15788218,Henderson,549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,0.006876502,Low Risk
15661507,Muldrow,587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,0.37574294,Medium Risk
15568982,Hao,726,France,Female,24,6,0.0,2,1,1,54724.03,0,0.015859377,Low Risk
15577657,McDonald,732,France,Male,41,8,0.0,2,1,1,170886.17,0,0.029338647,Low Risk
15597945,Dellucci,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,0.025786301,Low Risk
15699309,Gerasimov,510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,0.82493323,High Risk
15725737,Mosman,669,France,Male,46,3,0.0,2,0,1,8487.75,0,0.013780471,Low Risk
15625047,Yen,846,France,Female,38,5,0.0,1,1,1,187616.16,0,0.08558549,Low Risk
15738191,Maclean,577,France,Male,25,3,0.0,2,0,1,124508.29,0,0.0046576094,Low Risk
15736816,Young,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,0.35371527,Medium Risk
15700772,Nebechi,571,France,Male,44,9,0.0,2,0,0,38433.35,0,0.17854725,Low Risk
15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,0.25299942,Low Risk
15656300,Lucciano,411,France,Male,29,0,59697.17,2,1,1,53483.21,0,0.037710015,Low Risk
15589475,Azikiwe,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,0.97687507,High Risk
15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,0,1,156731.91,0,0.12502472,Low Risk
15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,0.2559761,Low Risk
15659428,Maggard,520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,0.060570836,Low Risk
15732963,Clements,722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,0.04576081,Low Risk
15794171,Lombardo,475,France,Female,45,0,134264.04,1,1,0,27822.99,1,0.97687984,High Risk
15788448,Watson,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,0.019241376,Low Risk
15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,0.011297699,Low Risk
15717426,Armstrong,850,France,Male,36,7,0.0,1,1,1,40812.9,0,0.19803701,Low Risk
15585768,Cameron,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,0.009590583,Low Risk
15619360,Hsiao,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,0.31027284,Medium Risk
